Year,Month,10000698
1949,01,78.59
1949,02,0.01
1949,03,0.06
1949,04,0.06
1949,05,0.08
1949,06,0
1949,07,0.14
1949,08,35.41
1949,09,0.51
1949,10,7.27
1949,11,2.09
1949,12,3.27
1950,01,2.01
1950,02,1.7
1950,03,18.13
1950,04,0
1950,05,0
1950,06,0
1950,07,24.72
1950,08,0.39
1950,09,1.2
1950,10,0
1950,11,0
1950,12,0
1951,01,16.31
1951,02,0.01
1951,03,0
1951,04,13.76
1951,05,6.04
1951,06,0
1951,07,0.94
1951,08,129.21
1951,09,0.1
1951,10,11.37
1951,11,18.67
1951,12,9.62
1952,01,9.52
1952,02,1.25
1952,03,27.94
1952,04,16.43
1952,05,0
1952,06,13.98
1952,07,4.51
1952,08,5.82
1952,09,1.92
1952,10,0
1952,11,16.85
1952,12,26.98
1953,01,0.02
1953,02,3.52
1953,03,2.92
1953,04,0
1953,05,0
1953,06,0
1953,07,4.84
1953,08,11.65
1953,09,0
1953,10,0
1953,11,0
1953,12,1.02
1954,01,21.44
1954,02,0.64
1954,03,20.49
1954,04,0
1954,05,0
1954,06,0
1954,07,10.05
1954,08,4.72
1954,09,8.23
1954,10,3
1954,11,0.05
1954,12,0.01
1955,01,38.19
1955,02,0
1955,03,0
1955,04,0.33
1955,05,0
1955,06,0
1955,07,2.59
1955,08,42.68
1955,09,0
1955,10,0.32
1955,11,0
1955,12,0.02
1956,01,0.02
1956,02,1.1
1956,03,0
1956,04,0
1956,05,0
1956,06,0
1956,07,6.07
1956,08,0.24
1956,09,0
1956,10,0.28
1956,11,0
1956,12,0
1957,01,20.19
1957,02,0.61
1957,03,0.16
1957,04,1.46
1957,05,0.1
1957,06,0.19
1957,07,3.41
1957,08,20.29
1957,09,0
1957,10,30.03
1957,11,1.38
1957,12,3.7
1958,01,0.38
1958,02,46.02
1958,03,13.49
1958,04,12.14
1958,05,2.41
1958,06,0.13
1958,07,7
1958,08,28.64
1958,09,2.83
1958,10,6.64
1958,11,4.09
1958,12,0
1959,01,1.99
1959,02,12.99
1959,03,0.02
1959,04,0.97
1959,05,0
1959,06,0.81
1959,07,2.3
1959,08,20.38
1959,09,23.36
1959,10,9.74
1959,11,0.46
1959,12,51.73
1960,01,11.41
1960,02,10.34
1960,03,4.48
1960,04,0.75
1960,05,0.04
1960,06,0
1960,07,1.29
1960,08,4.8
1960,09,24.43
1960,10,0.86
1960,11,4.34
1960,12,0.04
1961,01,5.59
1961,02,0
1961,03,1.17
1961,04,0.7
1961,05,0
1961,06,0
1961,07,1.77
1961,08,11.67
1961,09,0.32
1961,10,0
1961,11,1.26
1961,12,12.79
1962,01,20.92
1962,02,9.22
1962,03,1.64
1962,04,0
1962,05,0.01
1962,06,0.41
1962,07,0.15
1962,08,4.36
1962,09,0.53
1962,10,0.02
1962,11,0.11
1962,12,15.49
1963,01,5.54
1963,02,5.84
1963,03,3.24
1963,04,0.02
1963,05,0
1963,06,0
1963,07,0.01
1963,08,25.66
1963,09,34.78
1963,10,25.79
1963,11,12.9
1963,12,0
1964,01,0.66
1964,02,2.9
1964,03,8.53
1964,04,0.49
1964,05,0.01
1964,06,0.55
1964,07,8.94
1964,08,5.93
1964,09,0
1964,10,5.03
1964,11,10.97
1964,12,3.06
1965,01,6.41
1965,02,4.19
1965,03,12.36
1965,04,43.45
1965,05,0.69
1965,06,0
1965,07,3.02
1965,08,8.14
1965,09,0.57
1965,10,0
1965,11,23.19
1965,12,66.01
1966,01,25.49
1966,02,1.77
1966,03,10.83
1966,04,0.06
1966,05,0
1966,06,0
1966,07,6.51
1966,08,3.77
1966,09,2.9
1966,10,41.2
1966,11,11.54
1966,12,4.88
1967,01,4.58
1967,02,0
1967,03,4.83
1967,04,1.78
1967,05,0.29
1967,06,0
1967,07,3.33
1967,08,36.54
1967,09,24.15
1967,10,0
1967,11,15.71
1967,12,30.95
1968,01,0.07
1968,02,2.63
1968,03,8.07
1968,04,0.25
1968,05,0
1968,06,0
1968,07,22.92
1968,08,0.49
1968,09,0
1968,10,6.95
1968,11,0.87
1968,12,6.03
1969,01,24.5
1969,02,2.91
1969,03,0.84
1969,04,0
1969,05,1.54
1969,06,0
1969,07,16.45
1969,08,9.84
1969,09,8.62
1969,10,3.41
1969,11,26.06
1969,12,1.45
1970,01,3.55
1970,02,11.4
1970,03,36.4
1970,04,0.01
1970,05,0
1970,06,0
1970,07,1.24
1970,08,45.37
1970,09,0.15
1970,10,1.18
1970,11,1.04
1970,12,3.17
1971,01,0.82
1971,02,0.38
1971,03,0.1
1971,04,0.47
1971,05,0.03
1971,06,0
1971,07,0.02
1971,08,31.65
1971,09,18.12
1971,10,0.46
1971,11,0
1971,12,0.43
1972,01,0
1972,02,0
1972,03,0
1972,04,0
1972,05,0.18
1972,06,17.59
1972,07,0.52
1972,08,16.34
1972,09,0.19
1972,10,62
1972,11,14.9
1972,12,1.02
1973,01,1.16
1973,02,29.36
1973,03,20.22
1973,04,0
1973,05,0.9
1973,06,0.01
1973,07,0.03
1973,08,38.06
1973,09,0
1973,10,0
1973,11,2.93
1973,12,0
1974,01,14.47
1974,02,0
1974,03,6.93
1974,04,0
1974,05,0
1974,06,0
1974,07,6.83
1974,08,16.49
1974,09,0.15
1974,10,15.55
1974,11,0.01
1974,12,11.19
1975,01,0.34
1975,02,1.46
1975,03,7.28
1975,04,7.76
1975,05,0
1975,06,0
1975,07,3.72
1975,08,1.74
1975,09,30.11
1975,10,1.27
1975,11,4.12
1975,12,4.9
1976,01,0.62
1976,02,54.27
1976,03,0.04
1976,04,11.5
1976,05,0.73
1976,06,0
1976,07,9.89
1976,08,0.14
1976,09,60.75
1976,10,6.26
1976,11,4.9
1976,12,4.9
1977,01,5.97
1977,02,0.02
1977,03,1.98
1977,04,0.23
1977,05,4.57
1977,06,0.12
1977,07,1.13
1977,08,34.48
1977,09,17.2
1977,10,3.86
1977,11,0.02
1977,12,8.21
1978,01,49.66
1978,02,18.8
1978,03,13.73
1978,04,2.15
1978,05,1.47
1978,06,0
1978,07,0.49
1978,08,35.4
1978,09,0.15
1978,10,30.21
1978,11,16.36
1978,12,27.39
1979,01,32.34
1979,02,3.72
1979,03,16.74
1979,04,0
1979,05,11.16
1979,06,0.08
1979,07,6.27
1979,08,24.03
1979,09,3.32
1979,10,0.29
1979,11,0
1979,12,4.98
1980,01,24.78
1980,02,51.71
1980,03,14.61
1980,04,6.51
1980,05,6.48
1980,06,0.01
1980,07,2.77
1980,08,36.55
1980,09,0.81
1980,10,0.06
1980,11,0
1980,12,1.09
1981,01,2.35
1981,02,4.01
1981,03,22.19
1981,04,0
1981,05,1.56
1981,06,0.06
1981,07,1.02
1981,08,6.29
1981,09,1.87
1981,10,1.22
1981,11,4.66
1981,12,0
1982,01,3.66
1982,02,2.62
1982,03,18.54
1982,04,0
1982,05,5.52
1982,06,0
1982,07,4.87
1982,08,33.77
1982,09,10.83
1982,10,0
1982,11,10.92
1982,12,33.26
1983,01,8.4
1983,02,10.6
1983,03,34.7
1983,04,0.17
1983,05,0
1983,06,0
1983,07,0.39
1983,08,51.36
1983,09,30.79
1983,10,4.94
1983,11,1.71
1983,12,13.96
1984,01,1.79
1984,02,0
1984,03,0
1984,04,0.28
1984,05,0.9
1984,06,0.01
1984,07,27.96
1984,08,37.73
1984,09,0.47
1984,10,0
1984,11,10.64
1984,12,88.85
1985,01,8.39
1985,02,2.31
1985,03,2.44
1985,04,0.61
1985,05,0
1985,06,0.01
1985,07,2.26
1985,08,0.64
1985,09,36.85
1985,10,20.99
1985,11,44.92
1985,12,2.9
