Year,Month,10001010
1976,02,52.27
1976,03,0.18
1976,04,11.64
1976,05,0.19
1976,06,0
1976,07,13.11
1976,08,0.07
1976,09,68.85
1976,10,3.29
1976,11,1.23
1976,12,4.95
1977,01,6.79
1977,02,0
1977,03,3.03
1977,04,0.29
1977,05,3.33
1977,06,0.47
1977,07,2.67
1977,08,32.16
1977,09,17.96
1977,10,3.21
1977,11,0.04
1977,12,8.82
1978,01,63.61
1978,02,22.32
1978,03,11.95
1978,04,3.23
1978,05,1.39
1978,06,0
1978,07,1.75
1978,08,29.9
1978,09,0.11
1978,10,40.19
1978,11,18.4
1978,12,27.18
1979,01,36.07
1979,02,3.56
1979,03,20.9
1979,04,0
1979,05,8.47
1979,06,0.01
1979,07,11.36
1979,08,32.3
1979,09,8.27
1979,10,0.98
1979,11,0
1979,12,6.51
1980,01,27.2
1980,02,48.31
1980,03,19.3
1980,04,9.61
1980,05,4.05
1980,06,0.05
1980,07,3.43
1980,08,32.21
1980,09,3.53
1980,10,0.6
1980,11,0
1980,12,1.06
1981,01,1.87
1981,02,5.19
1981,03,25.95
1981,04,0
1981,05,2.51
1981,06,0.6
1981,07,1.97
1981,08,18.54
1981,09,2.31
1981,10,1.96
1981,11,4.99
1981,12,0
1982,01,3.47
1982,02,5.99
1982,03,20.65
1982,04,0
1982,05,6.03
1982,06,0
1982,07,7.28
1982,08,34.91
1982,09,12.03
1982,10,0.02
1982,11,10.54
1982,12,35.07
1983,01,6.86
1983,02,10.41
1983,03,40.95
1983,04,0.08
1983,05,0
1983,06,0
1983,07,0.3
1983,08,53.59
1983,09,28.88
1983,10,7.01
1983,11,1.73
1983,12,16.72
1984,01,1.94
1984,02,0
1984,03,0
1984,04,0.12
1984,05,0.97
1984,06,0.01
1984,07,40.48
1984,08,27.21
1984,09,0.98
1984,10,0
1984,11,11.8
1984,12,94.54
1985,01,9.52
1985,02,4.91
1985,03,1.94
1985,04,1.48
1985,05,0
1985,06,0.01
1985,07,1.15
1985,08,0.22
1985,09,38.35
1985,10,22.06
1985,11,46.23
1985,12,3.31
1986,01,5.34
1986,02,16.93
1986,03,7.18
1986,04,0.96
1986,05,0.07
1986,06,0
1986,07,13.14
1986,08,3
1986,09,28.32
1986,10,17.74
1986,11,12.04
1986,12,12.81
1987,01,3.1
1987,02,2.62
1987,03,0.23
1987,04,1.17
1987,05,0.99
1987,06,1.03
1987,07,24.64
1987,08,0.86
1987,09,1.88
1987,10,15.24
1987,11,22.69
1987,12,18.9
1988,01,16.96
1988,02,18.94
1988,03,0.85
1988,04,25.04
1988,05,0
1988,06,0.12
1988,07,1.23
1988,08,32.9
1988,09,0.24
1988,10,2.09
1988,11,0.06
1988,12,0.03
1989,01,30.35
1989,02,0.12
1989,03,1.93
1989,04,0
1989,05,0.36
1989,06,0
1989,07,5.35
1989,08,3.17
1989,09,0.03
1989,10,0.84
1989,11,0
1989,12,0.22
1990,01,8.01
1990,02,1.08
1990,03,4.57
1990,04,0.5
1990,05,1.32
1990,06,1.12
1990,07,8.33
1990,08,24.53
1990,09,7.4
1990,10,2.54
1990,11,0.73
1990,12,0
1991,01,11.4
1991,02,20.97
1991,03,30.42
1991,04,0
1991,05,0
1991,06,0.02
1991,07,1.23
1991,08,14.33
1991,09,16.71
1991,10,8.29
1991,11,1.17
1991,12,7.37
1992,01,21.48
1992,02,44.8
1992,03,73.23
1992,04,4.8
1992,05,3.61
1992,06,0
1992,07,0.34
1992,08,47.64
1992,09,0.18
1992,10,11.22
1992,11,0
1992,12,61.42
1993,01,84.42
1993,02,54.2
1993,03,7.39
1993,04,0
1993,05,0.15
1993,06,0
1993,07,0
1993,08,0.79
1993,09,0
1993,10,1.07
1993,11,18.21
1993,12,0.6
1994,01,0.35
