Year,Month,10001014
1949,01,6.28
1949,02,10.81
1949,03,16.13
1949,04,22.63
1949,05,24.91
1949,06,31.9
1949,07,34.6
1949,08,32.76
1949,09,32.39
1949,10,22.78
1949,11,18.64
1949,12,10.24
1950,01,9.37
1950,02,15.36
1950,03,19
1950,04,23.57
1950,05,26.61
1950,06,30.45
1950,07,33.88
1950,08,34.25
1950,09,29.9
1950,10,26.51
1950,11,17.45
1950,12,13.71
1951,01,11.77
1951,02,13.36
1951,03,17.04
1951,04,21.18
1951,05,26.4
1951,06,29.77
1951,07,34.38
1951,08,32.17
1951,09,29.67
1951,10,22.9
1951,11,14.61
1951,12,10.11
1952,01,10.13
1952,02,13.43
1952,03,14.93
1952,04,21.43
1952,05,27.89
1952,06,28.9
1952,07,33.22
1952,08,34.71
1952,09,30.97
1952,10,25.67
1952,11,14.76
1952,12,10.4
1953,01,14.57
1953,02,13.62
1953,03,17.32
1953,04,20.25
1953,05,22.38
1953,06,30.08
1953,07,35.22
1953,08,33.26
1953,09,30.35
1953,10,23.14
1953,11,17.26
1953,12,10.64
1954,01,11.15
1954,02,17.42
1954,03,15.75
1954,04,23.7
1954,05,26.93
1954,06,30.03
1954,07,34.77
1954,08,32.46
1954,09,30.61
1954,10,24.56
1954,11,18.02
1954,12,11.42
1955,01,10.18
1955,02,11.74
1955,03,16.78
1955,04,19.25
1955,05,24.73
1955,06,30.25
1955,07,32.49
1955,08,33.16
1955,09,30.08
1955,10,25.22
1955,11,15.86
1955,12,12.49
1956,01,13.46
1956,02,11.12
1956,03,17.56
1956,04,21.6
1956,05,25.9
1956,06,31.56
1956,07,33.34
1956,08,32.3
1956,09,31.93
1956,10,21.97
1956,11,14.83
1956,12,12.19
1957,01,11.26
1957,02,16.78
1957,03,18.38
1957,04,21.55
1957,05,24.32
1957,06,32.66
1957,07,34.77
1957,08,33.4
1957,09,29.79
1957,10,21.43
1957,11,13.99
1957,12,12.04
1958,01,12.5
1958,02,15.42
1958,03,14.96
1958,04,21.37
1958,05,28.69
1958,06,31.57
1958,07,33.74
1958,08,34.79
1958,09,31.22
1958,10,25.66
1958,11,16.22
1958,12,13.56
1959,01,13.45
1959,02,13.06
1959,03,19.01
1959,04,24.17
1959,05,25.7
1959,06,33
1959,07,35.64
1959,08,33.11
1959,09,29.38
1959,10,23.84
1959,11,16.82
1959,12,12.12
