Year,Month,10000696
1949,01,78.78
1949,02,0.01
1949,03,0.05
1949,04,0.05
1949,05,0.07
1949,06,0
1949,07,0.13
1949,08,34.57
1949,09,0.49
1949,10,7.24
1949,11,2.09
1949,12,3.12
1950,01,2.03
1950,02,1.67
1950,03,18.3
1950,04,0
1950,05,0
1950,06,0
1950,07,24.82
1950,08,0.37
1950,09,1.18
1950,10,0
1950,11,0
1950,12,0
1951,01,16.31
1951,02,0.01
1951,03,0
1951,04,13.74
1951,05,6.07
1951,06,0
1951,07,0.9
1951,08,129.26
1951,09,0.09
1951,10,11.33
1951,11,18.74
1951,12,9.66
1952,01,9.51
1952,02,1.23
1952,03,28.02
1952,04,16.4
1952,05,0
1952,06,14.01
1952,07,4.48
1952,08,5.8
1952,09,1.92
1952,10,0
1952,11,16.87
1952,12,26.99
1953,01,0.02
1953,02,3.53
1953,03,2.92
1953,04,0
1953,05,0
1953,06,0
1953,07,4.82
1953,08,11.66
1953,09,0
1953,10,0
1953,11,0
1953,12,1
1954,01,21.54
1954,02,0.65
1954,03,20.54
1954,04,0
1954,05,0
1954,06,0
1954,07,10.09
1954,08,4.64
1954,09,8.26
1954,10,3.01
1954,11,0.04
1954,12,0.01
1955,01,38.23
1955,02,0
1955,03,0
1955,04,0.32
1955,05,0
1955,06,0
1955,07,2.54
1955,08,42.54
1955,09,0
1955,10,0.3
1955,11,0
1955,12,0.02
1956,01,0.02
1956,02,1.08
1956,03,0
1956,04,0
1956,05,0
1956,06,0
1956,07,6.01
1956,08,0.22
1956,09,0
1956,10,0.26
1956,11,0
1956,12,0
1957,01,20.16
1957,02,0.59
1957,03,0.15
1957,04,1.38
1957,05,0.1
1957,06,0.18
1957,07,3.28
1957,08,21.05
1957,09,0
1957,10,29.93
1957,11,1.36
1957,12,3.7
1958,01,0.36
1958,02,46.3
1958,03,13.42
1958,04,12.17
1958,05,2.44
1958,06,0.12
1958,07,7.05
1958,08,28.52
1958,09,2.78
1958,10,6.7
1958,11,4.07
1958,12,0
1959,01,1.98
1959,02,13.02
1959,03,0.02
1959,04,0.97
1959,05,0
1959,06,0.78
1959,07,2.28
1959,08,20.19
1959,09,23.62
1959,10,9.76
1959,11,0.44
1959,12,51.9
1960,01,11.41
1960,02,10.37
1960,03,4.48
1960,04,0.76
1960,05,0.03
1960,06,0
1960,07,1.25
1960,08,4.72
1960,09,24.35
1960,10,0.81
1960,11,4.12
1960,12,0.03
1961,01,5.62
1961,02,0
1961,03,1.15
1961,04,0.7
1961,05,0
1961,06,0
1961,07,1.74
1961,08,11.54
1961,09,0.3
1961,10,0
1961,11,1.24
1961,12,12.64
1962,01,20.92
1962,02,9.21
1962,03,1.61
1962,04,0
1962,05,0.01
1962,06,0.39
1962,07,0.14
1962,08,4.3
1962,09,0.51
1962,10,0.02
1962,11,0.1
1962,12,15.57
1963,01,5.54
1963,02,5.77
1963,03,3.22
1963,04,0.02
1963,05,0
1963,06,0
1963,07,0
1963,08,25.68
1963,09,34.66
1963,10,25.74
1963,11,12.84
1963,12,0
1964,01,0.66
1964,02,2.88
1964,03,8.56
1964,04,0.48
1964,05,0
1964,06,0.54
1964,07,9.07
1964,08,5.96
1964,09,0
1964,10,5.08
1964,11,10.98
1964,12,3.06
1965,01,6.43
1965,02,4.18
1965,03,12.54
1965,04,43.21
1965,05,0.7
1965,06,0
1965,07,3
1965,08,8.08
1965,09,0.55
1965,10,0
1965,11,23.13
1965,12,65.47
1966,01,25.51
1966,02,1.75
1966,03,10.89
1966,04,0.05
1966,05,0
1966,06,0
1966,07,6.38
1966,08,3.69
1966,09,2.85
1966,10,41.41
1966,11,11.65
1966,12,4.87
1967,01,4.56
1967,02,0
1967,03,4.85
1967,04,1.79
1967,05,0.27
1967,06,0
1967,07,3.33
1967,08,36.62
1967,09,23.99
1967,10,0
1967,11,15.72
1967,12,30.99
1968,01,0.06
1968,02,2.6
1968,03,8.16
1968,04,0.23
1968,05,0
1968,06,0
1968,07,23.05
1968,08,0.47
1968,09,0
1968,10,6.92
1968,11,0.86
1968,12,6.05
1969,01,24.48
1969,02,2.86
1969,03,0.85
1969,04,0
1969,05,1.55
1969,06,0
1969,07,16.55
1969,08,9.82
1969,09,8.54
1969,10,3.39
1969,11,25.98
1969,12,1.43
1970,01,3.57
1970,02,11.36
1970,03,36.43
1970,04,0.01
1970,05,0
1970,06,0
1970,07,1.23
1970,08,45.64
1970,09,0.14
1970,10,1.16
1970,11,1.04
1970,12,3.15
1971,01,0.83
1971,02,0.36
1971,03,0.1
1971,04,0.46
1971,05,0.02
1971,06,0
1971,07,0.01
1971,08,31.45
1971,09,18.1
1971,10,0.44
