Year,Month,10001014
1949,01,81.29
1949,02,0.29
1949,03,0.1
1949,04,0.83
1949,05,0
1949,06,0
1949,07,0.07
1949,08,9.7
1949,09,0.59
1949,10,9.52
1949,11,2.66
1949,12,5.72
1950,01,0.16
1950,02,1.66
1950,03,10.35
1950,04,0
1950,05,0.03
1950,06,0
1950,07,16.04
1950,08,1.17
1950,09,3.14
1950,10,0
1950,11,0
1950,12,0
1951,01,19.3
1951,02,0
1951,03,0.03
1951,04,20
1951,05,5.99
1951,06,0
1951,07,3.78
1951,08,142.52
1951,09,0.52
1951,10,14.57
1951,11,17.1
1951,12,5.58
1952,01,13.26
1952,02,2.86
1952,03,26.56
1952,04,21
1952,05,0
1952,06,17.89
1952,07,7.45
1952,08,2.74
1952,09,3.61
1952,10,0
1952,11,12.94
1952,12,32.94
1953,01,0.02
1953,02,3.08
1953,03,4.11
1953,04,0
1953,05,0.21
1953,06,0
1953,07,3.85
1953,08,6.33
1953,09,0
1953,10,0
1953,11,0.07
1953,12,2.41
1954,01,25.54
1954,02,0.09
1954,03,25.2
1954,04,0
1954,05,0
1954,06,0
1954,07,7.29
1954,08,7.61
1954,09,5.25
1954,10,2.28
1954,11,0.03
1954,12,0.02
1955,01,39.8
1955,02,0.02
1955,03,0
1955,04,0.99
1955,05,0
1955,06,0
1955,07,3.67
1955,08,48.34
1955,09,0
1955,10,0.08
1955,11,0.03
1955,12,0.25
1956,01,0
1956,02,2.73
1956,03,0
1956,04,0.21
1956,05,0
1956,06,0
1956,07,13.33
1956,08,0.05
1956,09,0.08
1956,10,0.37
1956,11,0
1956,12,0
1957,01,24.23
1957,02,1.07
1957,03,0.25
1957,04,2.77
1957,05,0.53
1957,06,0.75
1957,07,6.61
1957,08,28.86
1957,09,0
1957,10,46.09
1957,11,1.52
1957,12,3.32
1958,01,2.67
1958,02,40.43
1958,03,17.95
1958,04,8.5
1958,05,2.83
1958,06,0.01
1958,07,2.11
1958,08,30.01
1958,09,1.06
1958,10,3.5
1958,11,2.05
1958,12,0
1959,01,2.11
1959,02,14.51
1959,03,0
