Year,Month,10001010
1949,01,6.43
1949,02,10.93
1949,03,16.06
1949,04,22.65
1949,05,24.83
1949,06,31.57
1949,07,34.44
1949,08,32.83
1949,09,32.27
1949,10,22.44
1949,11,18.51
1949,12,10.31
1950,01,9.47
1950,02,15.4
1950,03,18.82
1950,04,23.49
1950,05,26.13
1950,06,30.37
1950,07,33.81
1950,08,34.03
1950,09,29.21
1950,10,26.03
1950,11,17.51
1950,12,13.73
1951,01,11.6
1951,02,13.3
1951,03,16.96
1951,04,21.16
1951,05,26.27
1951,06,29.73
1951,07,34.5
1951,08,32.22
1951,09,29.93
1951,10,22.87
1951,11,14.7
1951,12,10.28
1952,01,10.09
1952,02,13.44
1952,03,14.84
1952,04,21.41
1952,05,27.89
1952,06,29.06
1952,07,33.4
1952,08,34.71
1952,09,30.94
1952,10,25.82
1952,11,14.62
1952,12,10.52
1953,01,14.56
1953,02,13.55
1953,03,17.43
1953,04,20.37
1953,05,22.4
1953,06,30.05
1953,07,35.13
1953,08,33.38
1953,09,30.42
1953,10,23.12
1953,11,17.24
1953,12,10.6
1954,01,11.26
1954,02,17.4
1954,03,15.89
1954,04,23.73
1954,05,26.98
1954,06,30.07
1954,07,34.77
1954,08,32.5
1954,09,30.59
1954,10,24.5
1954,11,17.94
1954,12,11.27
1955,01,10.03
1955,02,11.72
1955,03,16.86
1955,04,19.46
1955,05,24.77
1955,06,30.17
1955,07,32.53
1955,08,33.04
1955,09,30.02
1955,10,25.22
1955,11,15.77
1955,12,12.49
1956,01,13.3
1956,02,11.09
1956,03,17.6
1956,04,21.37
1956,05,25.92
1956,06,31.58
1956,07,33.43
1956,08,32.33
1956,09,31.74
1956,10,22.01
1956,11,14.79
1956,12,12.17
1957,01,11.4
1957,02,16.92
1957,03,18.45
1957,04,21.49
1957,05,24.18
1957,06,32.48
1957,07,34.88
1957,08,33.33
1957,09,29.87
1957,10,21.57
1957,11,13.98
1957,12,12.16
1958,01,12.46
1958,02,15.5
1958,03,15.13
1958,04,21.37
1958,05,28.7
1958,06,31.58
1958,07,33.78
1958,08,34.82
1958,09,31.15
1958,10,25.67
1958,11,16.09
1958,12,13.64
1959,01,13.27
1959,02,13.12
1959,03,18.99
1959,04,24.14
1959,05,25.56
1959,06,32.97
1959,07,35.74
1959,08,33.22
1959,09,29.29
1959,10,23.89
1959,11,16.76
1959,12,12.13
1960,01,9.71
1960,02,12.31
1960,03,19.3
1960,04,22.76
1960,05,26.04
1960,06,33.41
1960,07,34.96
1960,08,34
1960,09,31.02
1960,10,22.97
1960,11,15.42
1960,12,10.35
1961,01,12.96
1961,02,15.04
1961,03,17.66
1961,04,22.49
1961,05,25.59
1961,06,33.07
1961,07,34.66
1961,08,33.15
1961,09,27.65
1961,10,22.5
1961,11,14.37
1961,12,10.44
1962,01,12.09
1962,02,14.25
1962,03,14.66
1962,04,24.79
1962,05,24.7
1962,06,30.76
1962,07,34.05
1962,08,34.77
1962,09,31.08
1962,10,23.76
1962,11,17.83
1962,12,12.64
1963,01,10.16
1963,02,17.41
1963,03,16.75
1963,04,19.52
1963,05,26.9
1963,06,28.82
1963,07,34.22
1963,08,33.47
1963,09,30.58
1963,10,24.6
1963,11,16.57
1963,12,11.1
1964,01,9.96
1964,02,12.16
1964,03,15.89
1964,04,20.42
1964,05,25.07
1964,06,30.16
1964,07,34.65
1964,08,33.71
1964,09,29.5
1964,10,26.24
1964,11,13.99
1964,12,11.8
1965,01,12.88
1965,02,14.11
1965,03,16.18
1965,04,20.63
1965,05,25.11
1965,06,28.03
1965,07,33.72
1965,08,33.93
1965,09,27.76
1965,10,24.94
1965,11,17.27
1965,12,11.45
1966,01,10.18
1966,02,11.73
1966,03,17.99
1966,04,23.25
1966,05,28.2
1966,06,31.42
1966,07,34.29
1966,08,34.92
1966,09,30.32
1966,10,22.94
1966,11,16.95
1966,12,11.81
1967,01,11.58
1967,02,14.61
1967,03,17.69
1967,04,17.12
1967,05,25.4
1967,06,28.81
1967,07,34.99
1967,08,34.56
1967,09,29.67
1967,10,24.55
1967,11,18.39
1967,12,9.86
1968,01,11.91
1968,02,17.16
1968,03,18.34
1968,04,20.27
1968,05,25.83
1968,06,30.76
1968,07,33.52
1968,08,31.35
1968,09,29.62
1968,10,23.24
1968,11,16.5
1968,12,9.02
1969,01,13.69
1969,02,13.25
1969,03,16.22
1969,04,21.55
1969,05,27.47
1969,06,29.18
1969,07,33.92
1969,08,35.62
1969,09,30.72
1969,10,20.96
1969,11,15.9
1969,12,11.54
1970,01,10.22
1970,02,14.96
1970,03,16.33
1970,04,18.44
1970,05,26.22
1970,06,31.02
1970,07,34.17
1970,08,34.35
1970,09,28.79
1970,10,21.67
1970,11,16.04
1970,12,10.3
1971,01,11.43
1971,02,14.68
1971,03,17.55
1971,04,20.49
1971,05,23.04
1971,06,30.5
1971,07,35.18
1971,08,32.91
1971,09,29.18
1971,10,19.96
1971,11,14.36
1971,12,9.6
1972,01,9.74
1972,02,14.35
1972,03,20.78
1972,04,21.62
1972,05,26.02
1972,06,30.79
1972,07,35.15
1972,08,32.77
1972,09,29.23
1972,10,21.15
1972,11,13.51
1972,12,9.62
1973,01,10.15
1973,02,13.57
1973,03,15.07
1973,04,20.53
1973,05,27.5
1973,06,32.29
1973,07,34.89
1973,08,33.41
1973,09,28.79
1973,10,23.28
1973,11,15.04
1973,12,12.22
1974,01,10.95
1974,02,13.53
1974,03,18.11
1974,04,21.04
1974,05,26.65
1974,06,33.01
1974,07,33.33
1974,08,32.95
1974,09,31.16
1974,10,23.64
1974,11,16.01
1974,12,10.12
1975,01,11.49
1975,02,12.62
1975,03,15.51
1975,04,17.16
1975,05,25.3
1975,06,30.42
1975,07,34.39
1975,08,33.12
1975,09,30.71
1975,10,22.14
1975,11,15.46
1975,12,12.4
1976,01,12.63
1976,02,15.32
1976,03,16.26
1976,04,19.69
1976,05,26.92
1976,06,30.8
1976,07,33.52
1976,08,31.55
1976,09,27.85
1976,10,22.63
1976,11,16.68
1976,12,11.16
1977,01,11.6
1977,02,15.11
1977,03,15.16
1977,04,22.42
1977,05,22.66
1977,06,32.39
1977,07,34.85
1977,08,33.88
1977,09,29.75
1977,10,24.84
1977,11,17.43
1977,12,13.92
1978,01,12.53
1978,02,14.92
1978,03,18.8
1978,04,20.8
1978,05,26.01
1978,06,32.36
1978,07,34.99
1978,08,33.01
1978,09,29.27
1978,10,25.68
1978,11,15.23
1978,12,9.19
1979,01,9.08
1979,02,12.51
1979,03,16.39
1979,04,21.17
1979,05,26.34
1979,06,31.47
1979,07,33.89
1979,08,31.79
1979,09,31.44
1979,10,23.98
1979,11,14.54
1979,12,12.53
1980,01,13.89
1980,02,15.88
1980,03,16.47
1980,04,21.06
1980,05,23.52
1980,06,30.23
1980,07,35.23
1980,08,33.81
1980,09,30.14
1980,10,23.94
1980,11,16.81
1980,12,14.91
1981,01,15.13
1981,02,15.16
1981,03,17.64
1981,04,23.85
1981,05,26.33
1981,06,34.13
1981,07,35.35
1981,08,34.87
1981,09,31.07
1981,10,22.14
1981,11,17.33
1981,12,13.11
1982,01,11.79
1982,02,15.61
1982,03,16.76
1982,04,21.54
1982,05,25.83
1982,06,29.36
1982,07,32.93
1982,08,33.27
1982,09,29
1982,10,21.69
1982,11,14.91
1982,12,10.61
1983,01,12.82
1983,02,14.46
1983,03,17.11
1983,04,18.92
1983,05,26.19
1983,06,29.96
1983,07,33.39
1983,08,31.94
1983,09,31.52
1983,10,23.77
1983,11,16.88
1983,12,13.04
1984,01,13.44
1984,02,14.3
1984,03,18.85
1984,04,21.35
1984,05,29.32
1984,06,30.76
1984,07,33.54
1984,08,33.27
1984,09,31.16
1984,10,21.35
1984,11,15
1984,12,10.72
1985,01,12.03
1985,02,12.79
1985,03,16.56
1985,04,23.56
1985,05,26.99
1985,06,32.42
1985,07,35.05
1985,08,33.74
1985,09,26.6
1985,10,22.98
1985,11,14.81
1985,12,12.01
1986,01,14.92
1986,02,15.81
1986,03,19.94
