Year,Month,10001016
1949,01,6.23
1949,02,10.72
1949,03,16.15
1949,04,22.52
1949,05,24.78
1949,06,31.67
1949,07,34.45
1949,08,32.75
1949,09,32.07
1949,10,22.42
1949,11,18.42
1949,12,10.13
1950,01,9.25
1950,02,14.99
1950,03,18.74
1950,04,23.44
1950,05,26.4
1950,06,30.45
1950,07,33.8
1950,08,33.92
1950,09,29.15
1950,10,25.94
1950,11,17.34
1950,12,13.51
1951,01,11.63
1951,02,12.93
1951,03,16.92
1951,04,21.19
1951,05,26.2
1951,06,29.76
1951,07,34.42
1951,08,32.07
1951,09,29.67
1951,10,22.86
1951,11,14.58
1951,12,9.99
1952,01,10
1952,02,13.35
1952,03,14.78
1952,04,21.44
1952,05,27.67
1952,06,28.96
1952,07,33.21
1952,08,34.58
1952,09,30.8
1952,10,25.53
1952,11,14.67
1952,12,10.17
1953,01,14.51
1953,02,13.56
1953,03,17.32
1953,04,20.31
1953,05,22.28
1953,06,30.15
1953,07,34.89
1953,08,33.18
1953,09,30.21
1953,10,23.01
1953,11,17.28
1953,12,10.32
1954,01,11.08
1954,02,17.22
1954,03,15.75
1954,04,23.71
1954,05,26.96
1954,06,29.93
1954,07,34.59
1954,08,32.32
1954,09,30.32
1954,10,24.41
1954,11,18.02
1954,12,11.09
1955,01,9.85
1955,02,11.65
1955,03,16.75
1955,04,19.26
1955,05,24.76
1955,06,30.13
1955,07,32.41
1955,08,32.92
1955,09,29.74
1955,10,25.04
1955,11,15.68
1955,12,12.33
1956,01,13.22
1956,02,10.92
1956,03,17.5
1956,04,21.55
1956,05,25.9
1956,06,31.62
1956,07,33.3
1956,08,32.2
1956,09,31.42
1956,10,21.75
1956,11,14.76
1956,12,12.18
1957,01,11.26
1957,02,16.65
1957,03,18.36
1957,04,21.55
1957,05,24.13
1957,06,32.52
1957,07,34.67
1957,08,33.28
1957,09,29.74
1957,10,21.34
1957,11,13.87
1957,12,11.84
1958,01,12.37
1958,02,15.24
1958,03,14.97
1958,04,21.37
1958,05,28.7
1958,06,31.52
1958,07,33.64
1958,08,34.69
1958,09,30.96
1958,10,25.54
1958,11,16.24
1958,12,13.47
1959,01,13.41
1959,02,13.01
1959,03,18.97
1959,04,24.16
1959,05,25.65
1959,06,33.05
1959,07,35.54
1959,08,33
1959,09,29.2
1959,10,23.71
1959,11,16.66
1959,12,12.08
1960,01,9.55
1960,02,12.01
1960,03,19.16
1960,04,22.72
1960,05,26
1960,06,33.49
1960,07,34.72
1960,08,33.75
1960,09,30.7
1960,10,22.89
1960,11,15.22
1960,12,10.07
1961,01,12.92
1961,02,14.81
1961,03,17.69
1961,04,22.57
1961,05,25.59
1961,06,33.2
1961,07,34.48
1961,08,32.71
1961,09,27.31
1961,10,22.28
1961,11,14.1
1961,12,9.86
1962,01,11.74
1962,02,13.87
1962,03,14.32
1962,04,24.78
1962,05,24.85
1962,06,30.95
1962,07,34.07
1962,08,34.48
1962,09,30.74
1962,10,23.53
1962,11,17.63
1962,12,12.36
1963,01,10.08
1963,02,17.17
1963,03,16.71
1963,04,19.45
1963,05,26.9
1963,06,28.83
1963,07,34.15
1963,08,33.29
1963,09,30.31
1963,10,24.37
1963,11,16.55
1963,12,11.05
1964,01,10.01
1964,02,12.07
1964,03,15.77
1964,04,20.47
1964,05,25.18
1964,06,30.13
1964,07,34.47
1964,08,33.44
1964,09,29.47
1964,10,26.16
1964,11,13.92
1964,12,11.75
1965,01,12.94
1965,02,14.08
1965,03,16.29
1965,04,20.36
1965,05,25.08
1965,06,28.05
1965,07,33.57
1965,08,33.65
1965,09,27.53
1965,10,24.77
1965,11,17.07
1965,12,11.33
1966,01,10.16
1966,02,11.58
1966,03,17.94
1966,04,23.41
1966,05,28.17
1966,06,31.53
1966,07,34.17
1966,08,34.68
1966,09,30.19
1966,10,22.85
1966,11,16.94
1966,12,11.72
1967,01,11.6
1967,02,14.37
1967,03,17.63
1967,04,16.98
1967,05,25.34
1967,06,28.84
1967,07,34.78
1967,08,34.34
1967,09,29.49
1967,10,24.39
1967,11,18.45
1967,12,9.69
1968,01,11.93
1968,02,17.02
1968,03,18.24
1968,04,20.08
1968,05,25.8
1968,06,30.75
1968,07,33.25
1968,08,31.11
1968,09,29.44
1968,10,23.17
1968,11,16.31
1968,12,9.07
1969,01,13.51
1969,02,13.21
1969,03,16.06
1969,04,21.4
1969,05,27.41
1969,06,29.08
1969,07,33.5
1969,08,35.29
1969,09,30.43
1969,10,20.64
1969,11,15.62
1969,12,11.24
1970,01,9.92
1970,02,14.69
1970,03,16.27
1970,04,18.32
1970,05,26.06
1970,06,30.95
1970,07,33.67
1970,08,34.09
1970,09,28.71
1970,10,21.75
1970,11,16.28
1970,12,10.45
1971,01,11.67
1971,02,14.86
1971,03,17.42
1971,04,20.65
1971,05,23.02
1971,06,30.59
1971,07,35.19
1971,08,32.69
1971,09,29.2
1971,10,19.93
1971,11,14.64
1971,12,9.62
1972,01,9.97
1972,02,14.49
1972,03,20.92
1972,04,21.7
1972,05,25.79
1972,06,30.34
1972,07,34.94
1972,08,32.58
1972,09,28.93
1972,10,20.77
1972,11,13.09
1972,12,9.17
1973,01,9.96
1973,02,13.35
1973,03,15
1973,04,20.5
1973,05,27.46
1973,06,32.38
1973,07,34.82
1973,08,33.25
1973,09,28.79
1973,10,23.29
1973,11,15.03
1973,12,12.25
1974,01,10.78
1974,02,13.45
1974,03,18.1
1974,04,20.87
1974,05,26.59
1974,06,32.98
1974,07,33.04
1974,08,32.8
1974,09,30.93
1974,10,23.35
1974,11,15.85
1974,12,9.96
1975,01,11.56
1975,02,12.52
1975,03,15.44
1975,04,17.06
1975,05,25.55
1975,06,30.54
1975,07,34.24
1975,08,32.94
1975,09,30.49
1975,10,22
1975,11,15.54
1975,12,12.57
1976,01,12.62
1976,02,15.37
1976,03,16.22
1976,04,19.64
1976,05,26.88
1976,06,30.88
1976,07,33.5
1976,08,31.57
1976,09,27.76
1976,10,22.63
1976,11,16.5
1976,12,11.03
1977,01,11.41
1977,02,14.86
1977,03,15.13
1977,04,22.49
1977,05,22.72
1977,06,32.57
1977,07,34.79
1977,08,33.74
1977,09,29.56
1977,10,24.69
1977,11,17.41
1977,12,13.95
1978,01,12.5
1978,02,14.82
1978,03,18.66
1978,04,20.79
1978,05,25.94
1978,06,32.34
1978,07,34.9
1978,08,32.95
1978,09,29.01
1978,10,25.45
1978,11,15.11
1978,12,9.1
1979,01,8.87
1979,02,12.12
1979,03,16.23
1979,04,21.01
1979,05,26.39
1979,06,31.49
1979,07,33.74
1979,08,31.65
1979,09,31.25
1979,10,23.89
1979,11,14.69
1979,12,12.46
1980,01,13.68
1980,02,15.7
1980,03,16.42
