Year,Month,10000710
1949,01,78.76
1949,02,0.01
1949,03,0.05
1949,04,0.05
1949,05,0.07
1949,06,0
1949,07,0.13
1949,08,34.66
1949,09,0.5
1949,10,7.24
1949,11,2.09
1949,12,3.14
1950,01,2.02
1950,02,1.67
1950,03,18.28
1950,04,0
1950,05,0
1950,06,0
1950,07,24.81
1950,08,0.38
1950,09,1.18
1950,10,0
1950,11,0
1950,12,0
1951,01,16.31
1951,02,0.01
1951,03,0
1951,04,13.75
1951,05,6.06
1951,06,0
1951,07,0.9
1951,08,129.25
1951,09,0.09
1951,10,11.33
1951,11,18.73
1951,12,9.66
1952,01,9.51
1952,02,1.24
1952,03,28.01
1952,04,16.4
1952,05,0
1952,06,14.01
1952,07,4.48
1952,08,5.81
1952,09,1.92
1952,10,0
1952,11,16.86
1952,12,26.99
1953,01,0.02
1953,02,3.53
1953,03,2.92
1953,04,0
1953,05,0
1953,06,0
1953,07,4.82
1953,08,11.66
1953,09,0
1953,10,0
1953,11,0
1953,12,1.01
1954,01,21.53
1954,02,0.65
1954,03,20.53
1954,04,0
1954,05,0
1954,06,0
1954,07,10.09
1954,08,4.65
1954,09,8.26
1954,10,3.01
1954,11,0.04
1954,12,0.01
1955,01,38.23
1955,02,0
1955,03,0
1955,04,0.32
1955,05,0
1955,06,0
1955,07,2.55
1955,08,42.55
1955,09,0
1955,10,0.31
1955,11,0
1955,12,0.02
1956,01,0.02
1956,02,1.08
1956,03,0
1956,04,0
1956,05,0
1956,06,0
1956,07,6.02
1956,08,0.23
1956,09,0
1956,10,0.27
1956,11,0
1956,12,0
1957,01,20.16
1957,02,0.59
1957,03,0.15
1957,04,1.39
1957,05,0.1
1957,06,0.18
1957,07,3.29
1957,08,20.97
1957,09,0
1957,10,29.94
1957,11,1.37
1957,12,3.7
1958,01,0.37
1958,02,46.27
1958,03,13.43
1958,04,12.17
1958,05,2.44
1958,06,0.12
1958,07,7.04
1958,08,28.54
1958,09,2.79
1958,10,6.69
1958,11,4.07
1958,12,0
1959,01,1.98
1959,02,13.02
1959,03,0.02
1959,04,0.97
1959,05,0
1959,06,0.78
1959,07,2.28
1959,08,20.21
1959,09,23.59
1959,10,9.75
1959,11,0.45
1959,12,51.88
1960,01,11.41
1960,02,10.36
1960,03,4.48
1960,04,0.76
1960,05,0.03
1960,06,0
1960,07,1.25
1960,08,4.73
1960,09,24.36
1960,10,0.82
1960,11,4.15
1960,12,0.03
1961,01,5.61
1961,02,0
1961,03,1.16
1961,04,0.7
1961,05,0
1961,06,0
1961,07,1.74
1961,08,11.56
1961,09,0.31
1961,10,0
1961,11,1.25
1961,12,12.66
1962,01,20.92
1962,02,9.21
1962,03,1.61
1962,04,0
1962,05,0.01
1962,06,0.4
1962,07,0.14
1962,08,4.31
1962,09,0.52
1962,10,0.02
1962,11,0.1
1962,12,15.56
1963,01,5.54
1963,02,5.78
1963,03,3.23
1963,04,0.02
1963,05,0
1963,06,0
1963,07,0
1963,08,25.67
1963,09,34.68
1963,10,25.75
1963,11,12.85
1963,12,0
1964,01,0.66
1964,02,2.88
1964,03,8.56
1964,04,0.48
1964,05,0
1964,06,0.54
1964,07,9.05
1964,08,5.96
1964,09,0
1964,10,5.07
1964,11,10.98
1964,12,3.06
1965,01,6.42
1965,02,4.18
1965,03,12.52
1965,04,43.23
1965,05,0.7
1965,06,0
1965,07,3.01
1965,08,8.09
1965,09,0.56
1965,10,0
1965,11,23.14
1965,12,65.53
1966,01,25.5
1966,02,1.76
1966,03,10.88
1966,04,0.05
1966,05,0
1966,06,0
1966,07,6.39
1966,08,3.7
1966,09,2.86
1966,10,41.39
1966,11,11.64
1966,12,4.87
1967,01,4.57
1967,02,0
1967,03,4.84
1967,04,1.79
1967,05,0.28
1967,06,0
1967,07,3.33
1967,08,36.61
1967,09,24.01
1967,10,0
1967,11,15.72
1967,12,30.99
1968,01,0.06
1968,02,2.6
1968,03,8.15
1968,04,0.24
1968,05,0
1968,06,0
1968,07,23.03
1968,08,0.47
1968,09,0
1968,10,6.92
1968,11,0.86
1968,12,6.04
1969,01,24.48
1969,02,2.87
1969,03,0.85
1969,04,0
1969,05,1.55
1969,06,0
1969,07,16.54
1969,08,9.82
1969,09,8.55
1969,10,3.4
1969,11,25.99
1969,12,1.44
1970,01,3.56
1970,02,11.36
1970,03,36.42
1970,04,0.01
1970,05,0
1970,06,0
1970,07,1.23
1970,08,45.61
1970,09,0.14
1970,10,1.17
1970,11,1.04
1970,12,3.16
1971,01,0.83
1971,02,0.37
1971,03,0.1
1971,04,0.46
1971,05,0.02
1971,06,0
1971,07,0.01
1971,08,31.47
1971,09,18.11
1971,10,0.45
1971,11,0
1971,12,0.42
1972,01,0
1972,02,0
1972,03,0
1972,04,0
1972,05,0.17
1972,06,17.64
1972,07,0.5
1972,08,16.43
1972,09,0.18
1972,10,62.05
1972,11,14.87
1972,12,1.01
1973,01,1.15
1973,02,29.45
1973,03,20.18
1973,04,0
1973,05,0.89
1973,06,0.01
1973,07,0.02
1973,08,37.3
1973,09,0
1973,10,0
1973,11,2.94
1973,12,0
1974,01,14.47
1974,02,0
1974,03,6.94
1974,04,0
1974,05,0
1974,06,0
1974,07,6.91
1974,08,16.7
1974,09,0.14
1974,10,15.51
1974,11,0.01
1974,12,11.12
1975,01,0.33
1975,02,1.47
1975,03,7.32
1975,04,7.74
1975,05,0
1975,06,0
1975,07,3.65
1975,08,1.74
1975,09,30.25
1975,10,1.27
1975,11,4.13
1975,12,4.93
1976,01,0.63
1976,02,54.4
1976,03,0.03
1976,04,11.51
1976,05,0.73
1976,06,0
1976,07,9.85
1976,08,0.13
1976,09,60.74
1976,10,6.19
1976,11,4.91
1976,12,4.89
1977,01,5.94
1977,02,0.02
1977,03,1.98
1977,04,0.22
1977,05,4.56
1977,06,0.11
1977,07,1.13
1977,08,34.51
1977,09,17.25
1977,10,3.87
1977,11,0.02
1977,12,8.2
1978,01,49.59
1978,02,18.8
1978,03,13.72
1978,04,2.14
1978,05,1.48
1978,06,0
1978,07,0.47
1978,08,35.56
1978,09,0.14
1978,10,30.05
1978,11,16.34
1978,12,27.36
1979,01,32.24
1979,02,3.73
1979,03,16.73
1979,04,0
1979,05,11.24
1979,06,0.08
1979,07,6.2
