Year,Month,10000710
1949,01,6.78
1949,02,11.51
1949,03,15.69
1949,04,22.75
1949,05,25.07
1949,06,30.83
1949,07,33.8
1949,08,33.1
1949,09,32
1949,10,21.91
1949,11,19.06
1949,12,11.05
1950,01,10.12
1950,02,16.08
1950,03,18.66
1950,04,23.53
1950,05,24.84
1950,06,29.83
1950,07,32.89
1950,08,33.62
1950,09,29.04
1950,10,25.5
1950,11,18.96
1950,12,14.47
1951,01,11.81
1951,02,13.64
1951,03,16.9
1951,04,21.2
1951,05,25.95
1951,06,29.37
1951,07,34.27
1951,08,32.34
1951,09,30.92
1951,10,23.02
1951,11,15.37
1951,12,11.42
1952,01,10.11
1952,02,13.55
1952,03,14.67
1952,04,21.41
1952,05,28.07
1952,06,29.46
1952,07,33.84
1952,08,34.56
1952,09,31.22
1952,10,26.46
1952,11,14.55
1952,12,11.1
1953,01,13.75
1953,02,13.26
1953,03,17.78
1953,04,20.77
1953,05,22.72
1953,06,30.46
1953,07,35.21
1953,08,33.53
1953,09,30.7
1953,10,23.39
1953,11,17.48
1953,12,11.42
1954,01,11.87
1954,02,17.91
1954,03,16.51
1954,04,24.02
1954,05,27.25
1954,06,30.14
1954,07,34.85
1954,08,32.59
1954,09,30.71
1954,10,24.38
1954,11,17.97
1954,12,11.7
1955,01,9.95
1955,02,11.64
1955,03,17.07
1955,04,20.14
1955,05,24.73
1955,06,30.28
1955,07,32.66
1955,08,32.83
1955,09,30.27
1955,10,25.62
1955,11,16.47
1955,12,13.18
1956,01,13.51
1956,02,11.71
1956,03,17.9
1956,04,20.77
1956,05,26.08
1956,06,31.79
1956,07,33.67
1956,08,32.81
1956,09,32.09
1956,10,22.44
1956,11,15.19
1956,12,12.54
1957,01,11.79
1957,02,17.31
1957,03,18.45
1957,04,21.4
1957,05,24.11
1957,06,32.11
1957,07,34.84
1957,08,32.63
1957,09,30.51
1957,10,22.24
1957,11,14.53
1957,12,13.02
1958,01,12.65
1958,02,15.88
1958,03,15.47
1958,04,21.35
1958,05,28.87
1958,06,31.24
1958,07,33.92
1958,08,34.34
1958,09,30.74
1958,10,25.59
1958,11,16.17
1958,12,14.2
1959,01,13.08
1959,02,13.27
1959,03,19.04
1959,04,24.16
1959,05,25.53
1959,06,32.74
1959,07,35.75
1959,08,33.3
1959,09,29.13
1959,10,24.19
1959,11,16.88
1959,12,12.38
1960,01,10.05
1960,02,13.03
1960,03,19.64
1960,04,22.63
1960,05,26.16
1960,06,33.01
1960,07,34.97
1960,08,33.93
1960,09,31.12
1960,10,23.16
1960,11,16.1
1960,12,10.97
1961,01,13.16
1961,02,15.41
1961,03,17.73
1961,04,22.35
1961,05,25.21
1961,06,32.41
1961,07,34.45
1961,08,33.62
1961,09,28.29
1961,10,22.65
1961,11,14.78
1961,12,11.46
1962,01,12.29
1962,02,14.8
1962,03,15.02
1962,04,24.69
1962,05,24.26
1962,06,30.17
1962,07,33.57
1962,08,34.9
1962,09,31.05
1962,10,23.76
1962,11,18.28
1962,12,13.1
1963,01,10.25
1963,02,17.99
1963,03,16.9
1963,04,19.39
1963,05,26.8
1963,06,28.58
1963,07,33.8
1963,08,33.07
1963,09,30.66
1963,10,24.86
1963,11,16.8
1963,12,11.42
1964,01,9.91
1964,02,12.15
1964,03,16.03
1964,04,20.19
1964,05,24.73
1964,06,29.59
1964,07,34.35
1964,08,33.26
1964,09,29.12
1964,10,26.21
1964,11,14.32
1964,12,12.2
1965,01,12.83
1965,02,14.32
1965,03,15.95
1965,04,20.82
1965,05,24.64
1965,06,27.63
1965,07,33.68
1965,08,33.8
1965,09,27.94
1965,10,24.97
1965,11,17.5
1965,12,11.75
1966,01,9.96
1966,02,12.12
1966,03,18.12
1966,04,22.71
1966,05,27.63
1966,06,30.94
1966,07,34.08
1966,08,34.3
1966,09,30.25
1966,10,22.88
1966,11,17.18
1966,12,12.83
1967,01,12.1
1967,02,15.19
1967,03,18.2
1967,04,17.63
1967,05,25.37
1967,06,28.77
1967,07,34.88
1967,08,34.64
1967,09,29.38
1967,10,24.65
1967,11,18.53
1967,12,10.51
1968,01,12.03
1968,02,17.56
1968,03,18.6
1968,04,20.83
1968,05,26.09
1968,06,30.64
1968,07,33.61
1968,08,31.59
1968,09,29.75
1968,10,23.53
1968,11,16.91
1968,12,9.49
1969,01,14.21
1969,02,13.33
1969,03,16.41
1969,04,21.94
1969,05,27.45
1969,06,29.19
1969,07,34.55
1969,08,36.05
1969,09,31.43
1969,10,21.59
1969,11,16.96
1969,12,12.82
1970,01,11.47
1970,02,15.86
1970,03,16.57
1970,04,18.73
1970,05,26.61
1970,06,31.39
1970,07,35.21
1970,08,34.4
1970,09,28.86
1970,10,21.63
1970,11,16.55
1970,12,10.96
1971,01,11.65
1971,02,14.69
1971,03,18.08
1971,04,20.42
1971,05,23.59
1971,06,29.99
1971,07,34.79
1971,08,33.37
1971,09,29.41
1971,10,20.37
1971,11,14.97
1971,12,10.09
1972,01,10.18
1972,02,15.06
1972,03,21.46
1972,04,22.08
1972,05,26.29
1972,06,31.47
1972,07,35.48
1972,08,32.77
1972,09,29.55
1972,10,21.77
1972,11,14.46
1972,12,10.76
1973,01,10.6
1973,02,14.16
1973,03,15.03
1973,04,20.45
1973,05,27.22
1973,06,31.99
1973,07,34.54
1973,08,33.27
1973,09,28.92
1973,10,23.39
1973,11,15.76
1973,12,12.61
1974,01,11.46
1974,02,13.77
1974,03,18.29
1974,04,21.48
1974,05,26.45
1974,06,33.11
1974,07,33.75
1974,08,32.89
1974,09,31.08
1974,10,23.91
1974,11,16.52
1974,12,10.59
1975,01,11.61
1975,02,13
1975,03,15.74
1975,04,17.42
1975,05,24.63
1975,06,30.03
1975,07,34.26
1975,08,33.48
1975,09,30.65
1975,10,22.57
1975,11,16.5
1975,12,12.65
1976,01,12.71
1976,02,15.37
1976,03,16.43
1976,04,19.81
1976,05,26.76
1976,06,30.36
