Year,Month,10000692
1949,01,6.77
1949,02,11.51
1949,03,15.68
1949,04,22.74
1949,05,25.06
1949,06,30.82
1949,07,33.79
1949,08,33.09
1949,09,31.99
1949,10,21.9
1949,11,19.05
1949,12,11.04
1950,01,10.12
1950,02,16.08
1950,03,18.65
1950,04,23.52
1950,05,24.83
1950,06,29.82
1950,07,32.88
1950,08,33.61
1950,09,29.03
1950,10,25.49
1950,11,18.95
1950,12,14.46
1951,01,11.8
1951,02,13.63
1951,03,16.89
1951,04,21.19
1951,05,25.94
1951,06,29.36
1951,07,34.26
1951,08,32.33
1951,09,30.91
1951,10,23.01
1951,11,15.36
1951,12,11.42
1952,01,10.1
1952,02,13.55
1952,03,14.66
1952,04,21.4
1952,05,28.06
1952,06,29.46
1952,07,33.83
1952,08,34.55
1952,09,31.21
1952,10,26.45
1952,11,14.54
1952,12,11.09
1953,01,13.74
1953,02,13.25
1953,03,17.78
1953,04,20.77
1953,05,22.71
1953,06,30.45
1953,07,35.2
1953,08,33.52
1953,09,30.69
1953,10,23.38
1953,11,17.47
1953,12,11.42
1954,01,11.86
1954,02,17.91
1954,03,16.51
1954,04,24.01
1954,05,27.24
1954,06,30.13
1954,07,34.84
1954,08,32.58
1954,09,30.7
1954,10,24.37
1954,11,17.96
1954,12,11.69
1955,01,9.94
1955,02,11.63
1955,03,17.06
1955,04,20.13
1955,05,24.72
1955,06,30.27
1955,07,32.65
1955,08,32.82
1955,09,30.26
1955,10,25.61
1955,11,16.46
1955,12,13.17
1956,01,13.5
1956,02,11.7
1956,03,17.89
1956,04,20.76
1956,05,26.07
1956,06,31.78
1956,07,33.66
1956,08,32.8
1956,09,32.07
1956,10,22.42
1956,11,15.18
1956,12,12.53
1957,01,11.78
1957,02,17.3
1957,03,18.44
1957,04,21.39
1957,05,24.1
1957,06,32.1
1957,07,34.83
1957,08,32.62
1957,09,30.5
1957,10,22.23
1957,11,14.52
1957,12,13.01
1958,01,12.64
1958,02,15.87
1958,03,15.46
1958,04,21.34
1958,05,28.86
1958,06,31.23
1958,07,33.91
1958,08,34.33
1958,09,30.73
1958,10,25.58
1958,11,16.16
1958,12,14.19
1959,01,13.07
1959,02,13.26
1959,03,19.03
1959,04,24.16
1959,05,25.52
1959,06,32.73
1959,07,35.74
1959,08,33.29
1959,09,29.12
1959,10,24.18
1959,11,16.87
1959,12,12.37
1960,01,10.05
1960,02,13.03
1960,03,19.63
1960,04,22.62
1960,05,26.16
1960,06,33
1960,07,34.96
1960,08,33.92
1960,09,31.11
1960,10,23.15
1960,11,16.09
1960,12,10.96
1961,01,13.16
1961,02,15.41
1961,03,17.73
1961,04,22.34
1961,05,25.2
1961,06,32.4
1961,07,34.44
1961,08,33.61
1961,09,28.28
1961,10,22.64
1961,11,14.77
1961,12,11.45
1962,01,12.29
1962,02,14.8
1962,03,15.02
1962,04,24.69
1962,05,24.26
1962,06,30.16
1962,07,33.56
1962,08,34.89
1962,09,31.04
1962,10,23.75
1962,11,18.27
1962,12,13.09
1963,01,10.25
1963,02,17.99
1963,03,16.89
1963,04,19.38
1963,05,26.79
1963,06,28.57
1963,07,33.79
1963,08,33.06
1963,09,30.65
1963,10,24.85
1963,11,16.79
1963,12,11.41
1964,01,9.91
1964,02,12.15
1964,03,16.03
1964,04,20.19
1964,05,24.72
1964,06,29.58
1964,07,34.34
1964,08,33.25
1964,09,29.11
1964,10,26.2
1964,11,14.32
1964,12,12.2
1965,01,12.83
1965,02,14.32
1965,03,15.95
1965,04,20.81
1965,05,24.63
1965,06,27.62
1965,07,33.67
1965,08,33.79
1965,09,27.93
1965,10,24.96
1965,11,17.49
1965,12,11.74
1966,01,9.96
1966,02,12.12
1966,03,18.11
1966,04,22.71
1966,05,27.62
1966,06,30.93
1966,07,34.07
1966,08,34.29
1966,09,30.24
1966,10,22.87
1966,11,17.17
1966,12,12.83
1967,01,12.1
1967,02,15.19
1967,03,18.19
1967,04,17.62
1967,05,25.36
1967,06,28.76
1967,07,34.87
1967,08,34.63
1967,09,29.37
1967,10,24.64
1967,11,18.52
1967,12,10.51
1968,01,12.03
1968,02,17.56
1968,03,18.6
1968,04,20.82
1968,05,26.08
1968,06,30.63
1968,07,33.6
1968,08,31.58
1968,09,29.74
1968,10,23.52
1968,11,16.91
1968,12,9.48
1969,01,14.21
1969,02,13.33
1969,03,16.41
1969,04,21.94
1969,05,27.44
1969,06,29.18
1969,07,34.54
1969,08,36.04
1969,09,31.42
1969,10,21.58
1969,11,16.95
1969,12,12.82
1970,01,11.47
1970,02,15.86
1970,03,16.57
1970,04,18.73
1970,05,26.6
1970,06,31.38
1970,07,35.21
1970,08,34.39
1970,09,28.85
1970,10,21.62
1970,11,16.54
1970,12,10.95
1971,01,11.64
1971,02,14.69
1971,03,18.07
1971,04,20.41
1971,05,23.58
1971,06,29.98
1971,07,34.78
1971,08,33.37
1971,09,29.41
1971,10,20.36
1971,11,14.96
1971,12,10.09
1972,01,10.18
1972,02,15.06
1972,03,21.46
1972,04,22.07
1972,05,26.28
1972,06,31.46
1972,07,35.47
1972,08,32.76
1972,09,29.54
1972,10,21.76
1972,11,14.45
1972,12,10.75
1973,01,10.6
1973,02,14.16
1973,03,15.03
1973,04,20.44
1973,05,27.21
1973,06,31.98
1973,07,34.53
1973,08,33.26
1973,09,28.91
1973,10,23.37
1973,11,15.75
1973,12,12.6
1974,01,11.46
1974,02,13.77
1974,03,18.28
1974,04,21.47
1974,05,26.44
1974,06,33.1
1974,07,33.74
1974,08,32.88
1974,09,31.07
1974,10,23.9
1974,11,16.51
1974,12,10.58
1975,01,11.6
1975,02,12.99
1975,03,15.73
1975,04,17.41
1975,05,24.62
1975,06,30.02
1975,07,34.25
1975,08,33.47
1975,09,30.64
1975,10,22.56
1975,11,16.49
1975,12,12.65
1976,01,12.71
1976,02,15.36
1976,03,16.42
1976,04,19.8
1976,05,26.75
1976,06,30.35
1976,07,33.21
1976,08,31.9
1976,09,27.5
1976,10,22.83
1976,11,17.27
1976,12,11.72
1977,01,12.04
1977,02,15.57
1977,03,15.07
