Year,Month,10000688
1949,01,78.82
1949,02,0.01
1949,03,0.05
1949,04,0.05
1949,05,0.07
1949,06,0
1949,07,0.13
1949,08,34.4
1949,09,0.49
1949,10,7.23
1949,11,2.09
1949,12,3.09
1950,01,2.03
1950,02,1.66
1950,03,18.33
1950,04,0
1950,05,0
1950,06,0
1950,07,24.84
1950,08,0.37
1950,09,1.17
1950,10,0
1950,11,0
1950,12,0
1951,01,16.31
1951,02,0.01
1951,03,0
1951,04,13.74
1951,05,6.07
1951,06,0
1951,07,0.89
1951,08,129.27
1951,09,0.09
1951,10,11.32
1951,11,18.75
1951,12,9.67
1952,01,9.51
1952,02,1.23
1952,03,28.03
1952,04,16.39
1952,05,0
1952,06,14.02
1952,07,4.47
1952,08,5.8
1952,09,1.92
1952,10,0
1952,11,16.87
1952,12,26.99
1953,01,0.02
1953,02,3.53
1953,03,2.92
1953,04,0
1953,05,0
1953,06,0
1953,07,4.81
1953,08,11.66
1953,09,0
1953,10,0
1953,11,0
1953,12,1
1954,01,21.56
1954,02,0.65
1954,03,20.55
1954,04,0
1954,05,0
1954,06,0
1954,07,10.1
1954,08,4.62
1954,09,8.27
1954,10,3.01
1954,11,0.04
1954,12,0.01
1955,01,38.24
1955,02,0
1955,03,0
1955,04,0.32
1955,05,0
1955,06,0
1955,07,2.53
1955,08,42.51
1955,09,0
1955,10,0.3
1955,11,0
1955,12,0.02
1956,01,0.02
1956,02,1.07
1956,03,0
1956,04,0
1956,05,0
1956,06,0
1956,07,6
1956,08,0.22
1956,09,0
1956,10,0.26
1956,11,0
1956,12,0
1957,01,20.15
1957,02,0.58
1957,03,0.15
1957,04,1.37
1957,05,0.1
1957,06,0.18
1957,07,3.25
1957,08,21.2
1957,09,0
1957,10,29.91
1957,11,1.36
1957,12,3.7
1958,01,0.36
1958,02,46.35
1958,03,13.41
1958,04,12.18
1958,05,2.45
1958,06,0.12
1958,07,7.06
1958,08,28.5
1958,09,2.77
1958,10,6.71
1958,11,4.06
1958,12,0
1959,01,1.98
1959,02,13.03
1959,03,0.02
1959,04,0.97
1959,05,0
1959,06,0.77
1959,07,2.27
1959,08,20.15
1959,09,23.67
1959,10,9.76
1959,11,0.44
1959,12,51.93
1960,01,11.41
1960,02,10.37
1960,03,4.48
1960,04,0.76
1960,05,0.03
1960,06,0
1960,07,1.24
1960,08,4.7
1960,09,24.34
1960,10,0.8
1960,11,4.08
1960,12,0.03
1961,01,5.62
1961,02,0
1961,03,1.15
1961,04,0.7
1961,05,0
1961,06,0
1961,07,1.73
