Year,Month,10001016
1949,01,85.82
1949,02,0.17
1949,03,0.1
1949,04,0.72
1949,05,0
1949,06,0
1949,07,0.08
1949,08,11.66
1949,09,0.62
1949,10,10.32
1949,11,2.68
1949,12,5.68
1950,01,0.21
1950,02,2.17
1950,03,12.57
1950,04,0
1950,05,0
1950,06,0
1950,07,13.63
1950,08,0.81
1950,09,2.71
1950,10,0
1950,11,0
1950,12,0
1951,01,21.61
1951,02,0
1951,03,0
1951,04,20.92
1951,05,6.65
1951,06,0
1951,07,4.26
1951,08,154.48
1951,09,0.35
1951,10,17.51
1951,11,18.16
1951,12,5.77
1952,01,12.76
1952,02,2.92
1952,03,35.04
1952,04,22.78
1952,05,0
1952,06,22.3
1952,07,7.1
1952,08,3.36
1952,09,3.46
1952,10,0
1952,11,14.27
1952,12,35
1953,01,0.02
1953,02,3.16
1953,03,4.6
1953,04,0
1953,05,0.14
1953,06,0
1953,07,3.52
1953,08,6.12
1953,09,0
1953,10,0
1953,11,0.01
1953,12,2.42
1954,01,28.19
1954,02,0.04
1954,03,26.87
1954,04,0
1954,05,0
1954,06,0
1954,07,7.02
1954,08,8.58
1954,09,5.54
1954,10,2.39
1954,11,0.01
1954,12,0.02
1955,01,44.46
1955,02,0.01
1955,03,0
1955,04,1.07
1955,05,0
1955,06,0
1955,07,2.93
1955,08,56.95
1955,09,0
1955,10,0.12
1955,11,0.04
1955,12,0.19
1956,01,0
1956,02,2.95
1956,03,0
1956,04,0.14
1956,05,0
1956,06,0
1956,07,14.86
1956,08,0.07
1956,09,0.05
1956,10,0.28
1956,11,0
1956,12,0
1957,01,25.87
1957,02,1.14
1957,03,0.16
1957,04,2.88
1957,05,0.54
1957,06,0.74
1957,07,6.49
1957,08,30.46
1957,09,0
1957,10,45.88
1957,11,1.38
1957,12,3.52
1958,01,2.47
1958,02,43.83
1958,03,19.43
1958,04,9.31
1958,05,2.5
1958,06,0.01
1958,07,2.14
1958,08,37.1
1958,09,1.3
1958,10,3.62
1958,11,2.3
1958,12,0
1959,01,2.26
1959,02,16.12
1959,03,0
1959,04,0.69
1959,05,0
1959,06,0.31
1959,07,2.69
1959,08,35.73
1959,09,8.67
1959,10,14.6
1959,11,0.19
1959,12,52.79
1960,01,14.65
1960,02,8.86
1960,03,7.09
1960,04,1.05
1960,05,0
1960,06,0
1960,07,3.35
1960,08,9.82
1960,09,26.33
1960,10,1.13
1960,11,10.7
1960,12,0.14
1961,01,5.66
1961,02,0
1961,03,0.96
1961,04,0.08
1961,05,0
1961,06,0
1961,07,2.93
1961,08,14.68
1961,09,0.14
1961,10,0
1961,11,2.02
1961,12,22.86
1962,01,21.94
1962,02,8.77
1962,03,2.13
1962,04,0
1962,05,0.02
1962,06,0.2
1962,07,0.6
1962,08,6.78
1962,09,0.38
1962,10,0.02
1962,11,0.09
1962,12,17.29
1963,01,13.07
1963,02,7.44
1963,03,4.66
1963,04,0.6
1963,05,0
1963,06,0
1963,07,0
1963,08,32.38
1963,09,53.76
1963,10,33.22
1963,11,21.32
1963,12,0
1964,01,0.08
1964,02,3.56
1964,03,9.75
1964,04,2.82
1964,05,0.33
1964,06,1.42
1964,07,2.43
1964,08,1
1964,09,0.01
1964,10,3.73
1964,11,12.11
1964,12,3.95
1965,01,4.74
1965,02,3.34
1965,03,11.66
1965,04,72.61
1965,05,0.47
1965,06,0
1965,07,2.84
1965,08,6.93
1965,09,0.93
1965,10,0
1965,11,26.05
1965,12,66.25
1966,01,30.47
1966,02,3.82
1966,03,10.82
1966,04,0.58
1966,05,0
1966,06,0
1966,07,10.28
1966,08,4.11
1966,09,4.07
1966,10,41.24
1966,11,10.28
1966,12,5.88
1967,01,7.46
1967,02,0
1967,03,7.56
1967,04,2.27
1967,05,0.1
1967,06,0.01
1967,07,1.8
1967,08,43.54
1967,09,27.68
1967,10,0
1967,11,18.21
1967,12,29.59
1968,01,0.02
1968,02,2.93
1968,03,7.67
1968,04,0.83
1968,05,0
1968,06,0
1968,07,20.77
1968,08,0.73
1968,09,0
1968,10,14.84
1968,11,0.99
1968,12,4.83
1969,01,34
1969,02,1.64
1969,03,1.18
1969,04,0
1969,05,1.09
1969,06,0.29
1969,07,20.7
1969,08,12.06
1969,09,16
1969,10,5.42
1969,11,21.06
1969,12,1.89
1970,01,4.04
1970,02,15.14
1970,03,41.5
1970,04,0.15
1970,05,0
1970,06,0
1970,07,2.63
1970,08,40.67
1970,09,0.51
1970,10,0.31
1970,11,1.59
1970,12,2.58
1971,01,0.68
1971,02,0.27
1971,03,0.42
1971,04,1.01
1971,05,0.62
1971,06,0
1971,07,0.29
1971,08,36.44
1971,09,23.66
1971,10,2.17
1971,11,0
1971,12,1.51
1972,01,0
1972,02,0
1972,03,0
1972,04,0
1972,05,0.05
1972,06,23.21
1972,07,3.57
1972,08,7.85
1972,09,0.92
1972,10,60.09
1972,11,14.88
1972,12,0.86
1973,01,2.69
1973,02,31.65
1973,03,28.54
1973,04,0
1973,05,0.21
1973,06,0
1973,07,0.01
1973,08,16.82
1973,09,0
1973,10,0
1973,11,4.04
1973,12,0
1974,01,23.83
1974,02,0
1974,03,8.1
1974,04,0
1974,05,0
1974,06,0
1974,07,3.66
1974,08,9.34
1974,09,0.02
1974,10,22.68
1974,11,0.2
1974,12,20.6
1975,01,1.12
1975,02,1.8
1975,03,5.29
1975,04,10.93
1975,05,0
1975,06,0
1975,07,10.48
1975,08,0.23
1975,09,21.65
1975,10,0.66
1975,11,1.47
1975,12,2.33
1976,01,0.18
1976,02,58.14
1976,03,0.19
1976,04,13.02
1976,05,0.15
1976,06,0
1976,07,16.22
1976,08,0.05
1976,09,76.16
1976,10,3.23
1976,11,1.21
1976,12,5.44
1977,01,6.93
1977,02,0
1977,03,3.73
1977,04,0.27
1977,05,3.5
1977,06,0.5
1977,07,2.96
1977,08,33.39
1977,09,21.23
1977,10,3.31
1977,11,0.02
1977,12,9.82
1978,01,78.89
1978,02,22.27
1978,03,12.69
1978,04,3.39
1978,05,1.59
1978,06,0
1978,07,1.69
1978,08,34.74
1978,09,0.07
1978,10,45.81
1978,11,18.72
1978,12,29.16
1979,01,38.22
1979,02,3.9
1979,03,22.68
1979,04,0
1979,05,9.5
1979,06,0
1979,07,12.92
1979,08,35.12
1979,09,9.2
1979,10,1.09
1979,11,0
1979,12,7.17
1980,01,27.73
1980,02,49.08
1980,03,22.65
1980,04,12.45
1980,05,4.8
1980,06,0.04
1980,07,3.59
1980,08,33.7
1980,09,3.8
1980,10,0.72
1980,11,0
1980,12,1.15
1981,01,2.08
1981,02,5.66
1981,03,29.1
1981,04,0
1981,05,2.82
1981,06,0.72
1981,07,1.92
1981,08,22.36
1981,09,2.25
1981,10,1.82
1981,11,5.19
1981,12,0
1982,01,3.67
1982,02,6.51
1982,03,22.5
1982,04,0
1982,05,6.44
1982,06,0
1982,07,8.06
1982,08,35.7
1982,09,14.39
1982,10,0.01
1982,11,11.35
1982,12,38.19
1983,01,7.49
1983,02,11.25
1983,03,45.86
1983,04,0.07
1983,05,0
1983,06,0
1983,07,0.19
1983,08,54.21
1983,09,31.36
1983,10,7.23
1983,11,1.96
1983,12,18.61
1984,01,2.25
1984,02,0
1984,03,0
1984,04,0.14
1984,05,1.09
1984,06,0
1984,07,44.93
1984,08,29.96
1984,09,0.78
1984,10,0
1984,11,12.65
1984,12,104.87
1985,01,9.84
1985,02,5.22
1985,03,2.14
1985,04,1.58
1985,05,0
1985,06,0
1985,07,1.03
1985,08,0.19
1985,09,42.93
1985,10,24.4
1985,11,51.24
1985,12,4.4
1986,01,5.82
1986,02,20.31
1986,03,7.66
1986,04,1.05
1986,05,0.05
1986,06,0
1986,07,13.48
1986,08,2.73
1986,09,30.84
1986,10,20.16
1986,11,13.23
1986,12,14.05
1987,01,3.53
1987,02,2.61
1987,03,0.21
1987,04,1.31
1987,05,1.24
1987,06,1.01
1987,07,29.54
1987,08,0.64
1987,09,1.38
1987,10,16.13
1987,11,25.83
1987,12,19.44
1988,01,18.16
1988,02,21.55
1988,03,0.98
1988,04,26.91
1988,05,0
1988,06,0.14
1988,07,0.9
1988,08,32.23
1988,09,0.29
1988,10,2.27
1988,11,0.03
1988,12,0.01
1989,01,33.14
1989,02,0.14
1989,03,2.19
1989,04,0
1989,05,0.32
1989,06,0
1989,07,5.7
1989,08,3.54
1989,09,0.02
1989,10,0.68
1989,11,0
1989,12,0.22
1990,01,8.35
1990,02,0.99
1990,03,5.12
1990,04,0.32
1990,05,1.41
1990,06,1.05
1990,07,8.68
1990,08,28.01
1990,09,7.34
1990,10,3.03
1990,11,0.8
1990,12,0
1991,01,13.57
1991,02,22.88
1991,03,31.13
1991,04,0
1991,05,0
1991,06,0.01
1991,07,1.32
1991,08,16.17
1991,09,21.8
1991,10,9.43
1991,11,1.18
1991,12,8.44
1992,01,23.47
1992,02,55.5
1992,03,92.63
1992,04,5.57
1992,05,3.52
1992,06,0
1992,07,0.26
1992,08,54.69
1992,09,0.15
1992,10,11.72
1992,11,0
1992,12,66.88
1993,01,103.61
1993,02,59.86
1993,03,8.32
1993,04,0
1993,05,0.17
1993,06,0
1993,07,0
1993,08,0.73
1993,09,0
1993,10,1.04
1993,11,20.25
1993,12,0.59
1994,01,0.37
1994,02,9.4
1994,03,22.89
1994,04,0.62
1994,05,4.23
1994,06,0.11
1994,07,15.58
1994,08,8.13
1994,09,0.04
1994,10,0.19
1994,11,2.78
1994,12,46.13
1995,01,59.53
1995,02,14.87
1995,03,12.32
1995,04,3.73
1995,05,0.14
1995,06,0
1995,07,1.62
1995,08,12.75
1995,09,1.6
1995,10,0
1995,11,0
1995,12,0.17
1996,01,3.17
1996,02,9.98
1996,03,4.54
1996,04,0
1996,05,6.23
1996,06,0
1996,07,0.15
1996,08,1.43
1996,09,32.08
1996,10,0.43
1996,11,2.29
1996,12,0.32
1997,01,22.27
1997,02,0.79
1997,03,0.03
1997,04,4.02
1997,05,0.15
1997,06,0.12
1997,07,12.77
1997,08,6.72
1997,09,53.08
1997,10,0.96
1997,11,1.19
1997,12,35.55
1998,01,7.2
1998,02,64.88
1998,03,20.43
1998,04,1.3
1998,05,0.74
1998,06,0
1998,07,7.3
1998,08,9.78
1998,09,33.27
1998,10,1.56
1998,11,4.6
1998,12,5.4
1999,01,0.75
1999,02,9.42
1999,03,0
1999,04,23.6
1999,05,0.47
1999,06,1.12
1999,07,22.61
1999,08,11.55
1999,09,17.53
1999,10,0
1999,11,0
1999,12,0
2000,01,0.5
2000,02,3.21
2000,03,8.05
2000,04,0
2000,05,0
2000,06,0.95
2000,07,0
2000,08,18.28
2000,09,0.2
2000,10,5.04
2000,11,0.32
2000,12,0
2001,01,24.26
2001,02,18.21
2001,03,31.54
2001,04,1.16
2001,05,0
2001,06,0.08
2001,07,17.72
2001,08,5.6
2001,09,0.31
2001,10,0.2
2001,11,2.49
2001,12,4.31
2002,01,0.25
2002,02,0
2002,03,1.45
2002,04,0.19
2002,05,0
2002,06,0
2002,07,0.89
2002,08,0
2002,09,11.78
2002,10,2.89
2002,11,4.19
2002,12,2.37
2003,01,7.19
2003,02,28.53
2003,03,14.16
2003,04,1.78
2003,05,0
2003,06,0
2003,07,4.5
2003,08,6.98
2003,09,8.83
2003,10,0
2003,11,9.62
2003,12,6.08
2004,01,2.2
2004,02,17.51
2004,03,13.41
2004,04,8.61
2004,05,0
2004,06,0
2004,07,6.61
2004,08,8.35
2004,09,16.88
2004,10,40.82
2004,11,20.95
2004,12,19.65
2005,01,47.89
2005,02,79.91
2005,03,5.04
2005,04,3.77
2005,05,0
2005,06,0.24
2005,07,3.77
2005,08,34.65
2005,09,2.5
2005,10,16.69
2005,11,0.14
2005,12,0
2006,01,0.23
2006,02,1.07
2006,03,7.01
2006,04,0.17
2006,05,0.03
2006,06,2.69
2006,07,3.81
2006,08,23.36
2006,09,18.48
2006,10,6.6
2006,11,0
2006,12,0.92
2007,01,5.14
2007,02,2.21
2007,03,12.82
2007,04,0.86
2007,05,0
2007,06,0
2007,07,3.7
2007,08,3.3
2007,09,7.03
2007,10,0.7
2007,11,15.72
2007,12,27.26
2008,01,25.84
2008,02,3.43
2008,03,0.68
2008,04,0
2008,05,11.25
2008,06,0
2008,07,9.74
2008,08,18.74
2008,09,5.37
2008,10,0
2008,11,15.15
2008,12,27.24
2009,01,1.34
2009,02,18.14
2009,03,0
2009,04,0.26
2009,05,0.45
2009,06,0.22
2009,07,3.13
2009,08,6.64
2009,09,1.97
2009,10,0
2009,11,0.09
2009,12,21.82
2010,01,61.39
2010,02,19.83
2010,03,18.66
2010,04,0.27
2010,05,0
2010,06,0
2010,07,0
2010,08,7.84
2010,09,0.21
2010,10,9.36
2010,11,0
2010,12,25.55
2011,01,0
2011,02,22.47
2011,03,1.91
2011,04,0.05
2011,05,0
2011,06,0
2011,07,25.98
2011,08,0
2011,09,18.41
2011,10,1.86
2011,11,9.98
2011,12,20.71
2012,01,0
2012,02,4.71
2012,03,4.17
2012,04,3.59
2012,05,0
2012,06,0
2012,07,25.24
2012,08,37.33
2012,09,9.16
2012,10,4.86
2012,11,0
2012,12,23.81
2013,01,19.66
2013,02,2.56
2013,03,3.62
2013,04,0
2013,05,0
2013,06,0
2013,07,23.25
2013,08,23.25
2013,09,20.43
2013,10,0.32
2013,11,44.37
2013,12,3.7
2014,01,0
2014,02,0
2014,03,8.15
2014,04,0.48
2014,05,0.28
2014,06,0
2014,07,18.47
2014,08,26.37
2014,09,25.53
2014,10,3.54
2014,11,0
2014,12,14.97
2015,01,19.56
2015,02,3.45
2015,03,23.93
2015,04,0.07
2015,05,10.35
2015,06,2.28
2015,07,15.84
2015,08,0.15
2015,09,10.25
