Year,Month,10000692
1949,01,78.81
1949,02,0.01
1949,03,0.05
1949,04,0.05
1949,05,0.07
1949,06,0
1949,07,0.13
1949,08,34.46
1949,09,0.49
1949,10,7.23
1949,11,2.09
1949,12,3.1
1950,01,2.03
1950,02,1.66
1950,03,18.32
1950,04,0
1950,05,0
1950,06,0
1950,07,24.83
1950,08,0.37
1950,09,1.17
1950,10,0
1950,11,0
1950,12,0
1951,01,16.31
1951,02,0.01
1951,03,0
1951,04,13.74
1951,05,6.07
1951,06,0
1951,07,0.89
1951,08,129.27
1951,09,0.09
1951,10,11.32
1951,11,18.75
1951,12,9.67
1952,01,9.51
1952,02,1.23
1952,03,28.03
1952,04,16.39
1952,05,0
1952,06,14.02
1952,07,4.47
1952,08,5.8
1952,09,1.92
1952,10,0
1952,11,16.87
1952,12,26.99
1953,01,0.02
1953,02,3.53
1953,03,2.92
1953,04,0
1953,05,0
1953,06,0
1953,07,4.81
1953,08,11.66
1953,09,0
1953,10,0
1953,11,0
1953,12,1
1954,01,21.55
1954,02,0.65
1954,03,20.55
1954,04,0
1954,05,0
1954,06,0
1954,07,10.1
1954,08,4.63
1954,09,8.27
1954,10,3.01
1954,11,0.04
1954,12,0.01
1955,01,38.24
1955,02,0
1955,03,0
1955,04,0.32
1955,05,0
1955,06,0
1955,07,2.53
1955,08,42.52
1955,09,0
1955,10,0.3
1955,11,0
1955,12,0.02
1956,01,0.02
1956,02,1.07
1956,03,0
1956,04,0
1956,05,0
1956,06,0
1956,07,6
1956,08,0.22
1956,09,0
1956,10,0.26
1956,11,0
1956,12,0
1957,01,20.15
1957,02,0.58
1957,03,0.15
1957,04,1.38
1957,05,0.1
1957,06,0.18
1957,07,3.26
1957,08,21.15
1957,09,0
1957,10,29.92
1957,11,1.36
1957,12,3.7
1958,01,0.36
1958,02,46.33
1958,03,13.41
1958,04,12.18
1958,05,2.45
1958,06,0.12
1958,07,7.06
1958,08,28.51
1958,09,2.77
1958,10,6.71
1958,11,4.06
1958,12,0
1959,01,1.98
1959,02,13.03
1959,03,0.02
1959,04,0.97
1959,05,0
1959,06,0.77
1959,07,2.27
1959,08,20.16
1959,09,23.65
1959,10,9.76
1959,11,0.44
1959,12,51.92
1960,01,11.41
1960,02,10.37
1960,03,4.48
1960,04,0.76
1960,05,0.03
1960,06,0
1960,07,1.24
1960,08,4.71
1960,09,24.35
1960,10,0.8
1960,11,4.09
1960,12,0.03
1961,01,5.62
1961,02,0
1961,03,1.15
1961,04,0.7
1961,05,0
1961,06,0
1961,07,1.73
1961,08,11.53
1961,09,0.3
1961,10,0
1961,11,1.24
1961,12,12.62
1962,01,20.92
1962,02,9.21
1962,03,1.6
1962,04,0
1962,05,0.01
1962,06,0.39
1962,07,0.14
1962,08,4.29
1962,09,0.51
1962,10,0.02
1962,11,0.1
1962,12,15.58
1963,01,5.54
1963,02,5.76
1963,03,3.22
1963,04,0.02
1963,05,0
1963,06,0
1963,07,0
1963,08,25.68
1963,09,34.65
1963,10,25.73
1963,11,12.83
1963,12,0
1964,01,0.66
1964,02,2.87
1964,03,8.57
1964,04,0.48
1964,05,0
1964,06,0.54
1964,07,9.08
1964,08,5.97
1964,09,0
1964,10,5.09
1964,11,10.98
1964,12,3.06
1965,01,6.43
1965,02,4.18
1965,03,12.57
1965,04,43.18
1965,05,0.7
1965,06,0
1965,07,3
1965,08,8.07
1965,09,0.55
1965,10,0
1965,11,23.12
1965,12,65.4
1966,01,25.51
1966,02,1.75
1966,03,10.9
1966,04,0.05
1966,05,0
1966,06,0
1966,07,6.36
1966,08,3.68
1966,09,2.84
1966,10,41.44
1966,11,11.66
1966,12,4.87
1967,01,4.56
1967,02,0
1967,03,4.85
1967,04,1.79
1967,05,0.27
1967,06,0
1967,07,3.33
1967,08,36.63
1967,09,23.97
1967,10,0
1967,11,15.72
1967,12,31
1968,01,0.06
1968,02,2.59
1968,03,8.17
1968,04,0.23
1968,05,0
1968,06,0
1968,07,23.06
1968,08,0.46
1968,09,0
1968,10,6.91
1968,11,0.86
1968,12,6.05
1969,01,24.47
1969,02,2.85
1969,03,0.85
1969,04,0
1969,05,1.55
1969,06,0
1969,07,16.56
1969,08,9.81
1969,09,8.53
1969,10,3.39
1969,11,25.97
1969,12,1.43
1970,01,3.57
1970,02,11.35
1970,03,36.43
1970,04,0.01
1970,05,0
1970,06,0
1970,07,1.23
1970,08,45.67
1970,09,0.14
1970,10,1.16
1970,11,1.04
1970,12,3.15
1971,01,0.83
1971,02,0.36
1971,03,0.1
1971,04,0.46
1971,05,0.02
1971,06,0
1971,07,0.01
1971,08,31.42
1971,09,18.1
1971,10,0.44
1971,11,0
1971,12,0.41
1972,01,0
1972,02,0
1972,03,0
1972,04,0
1972,05,0.17
1972,06,17.66
1972,07,0.49
1972,08,16.45
1972,09,0.18
1972,10,62.07
1972,11,14.86
1972,12,1.01
1973,01,1.15
1973,02,29.47
1973,03,20.17
1973,04,0
1973,05,0.89
1973,06,0.01
1973,07,0.02
1973,08,37.1
1973,09,0
1973,10,0
1973,11,2.94
1973,12,0
1974,01,14.47
1974,02,0
1974,03,6.94
1974,04,0
1974,05,0
1974,06,0
1974,07,6.93
1974,08,16.75
1974,09,0.14
1974,10,15.5
1974,11,0.01
1974,12,11.1
1975,01,0.33
1975,02,1.47
1975,03,7.34
1975,04,7.73
1975,05,0
1975,06,0
1975,07,3.64
1975,08,1.74
1975,09,30.29
1975,10,1.27
1975,11,4.14
1975,12,4.94
1976,01,0.63
1976,02,54.43
1976,03,0.03
1976,04,11.51
1976,05,0.73
1976,06,0
1976,07,9.84
1976,08,0.13
1976,09,60.73
1976,10,6.18
1976,11,4.92
1976,12,4.88
1977,01,5.93
1977,02,0.02
1977,03,1.98
1977,04,0.21
1977,05,4.56
1977,06,0.11
1977,07,1.13
1977,08,34.52
1977,09,17.27
1977,10,3.87
1977,11,0.02
1977,12,8.19
1978,01,49.58
1978,02,18.8
1978,03,13.71
1978,04,2.13
1978,05,1.49
1978,06,0
1978,07,0.46
1978,08,35.6
1978,09,0.14
1978,10,30
1978,11,16.33
1978,12,27.35
1979,01,32.21
1979,02,3.73
1979,03,16.73
1979,04,0
1979,05,11.26
1979,06,0.08
1979,07,6.19
1979,08,23.73
1979,09,3.19
1979,10,0.27
1979,11,0
1979,12,5
1980,01,24.63
1980,02,51.74
1980,03,14.57
1980,04,6.54
1980,05,6.59
1980,06,0.01
1980,07,2.77
1980,08,36.63
1980,09,0.76
1980,10,0.05
1980,11,0
1980,12,1.08
1981,01,2.37
1981,02,3.99
1981,03,22.23
1981,04,0
1981,05,1.53
1981,06,0.05
1981,07,1
1981,08,7.15
1981,09,1.78
1981,10,1.2
1981,11,4.58
1981,12,0
1982,01,3.67
1982,02,2.53
1982,03,18.48
1982,04,0
1982,05,5.48
1982,06,0
1982,07,4.94
1982,08,33.61
1982,09,10.89
1982,10,0
1982,11,10.89
1982,12,33.23
1983,01,8.42
1983,02,10.6
1983,03,34.8
1983,04,0.16
1983,05,0
1983,06,0
1983,07,0.37
1983,08,51.01
1983,09,30.85
1983,10,4.88
1983,11,1.72
1983,12,13.89
1984,01,1.8
1984,02,0
1984,03,0
1984,04,0.27
1984,05,0.9
1984,06,0.01
1984,07,27.76
1984,08,38.09
1984,09,0.45
1984,10,0
1984,11,10.67
1984,12,89.14
1985,01,8.4
1985,02,2.23
1985,03,2.46
1985,04,0.57
1985,05,0
1985,06,0.01
1985,07,2.19
1985,08,0.64
1985,09,36.9
1985,10,20.97
1985,11,44.99
1985,12,2.91
1986,01,5.19
1986,02,14.19
1986,03,4.93
1986,04,0.31
1986,05,0
1986,06,0
1986,07,19.43
1986,08,5.05
1986,09,26.89
1986,10,18.89
1986,11,7.75
1986,12,9.78
1987,01,2.86
1987,02,3.77
1987,03,0.1
1987,04,0.85
1987,05,0.04
1987,06,1.08
1987,07,10.63
1987,08,1.91
1987,09,2.38
1987,10,15.96
1987,11,23.7
1987,12,19.21
1988,01,18.36
1988,02,16.64
1988,03,0.09
1988,04,20.85
1988,05,0
1988,06,0.03
1988,07,1.44
1988,08,51.71
1988,09,0.05
1988,10,2.34
1988,11,0.07
1988,12,0.04
1989,01,26.69
1989,02,0
1989,03,1.99
1989,04,0
1989,05,0.65
1989,06,0
1989,07,4.13
1989,08,3.01
1989,09,0.01
1989,10,1.2
1989,11,0
1989,12,0.02
1990,01,10.65
1990,02,0.83
1990,03,3.11
1990,04,0.55
1990,05,0.28
1990,06,1.77
1990,07,8.32
1990,08,20.85
1990,09,11.53
1990,10,0.56
1990,11,0.04
1990,12,0.02
1991,01,8.51
1991,02,18.65
1991,03,26.77
1991,04,0
1991,05,0
1991,06,0
1991,07,1.66
1991,08,16.13
1991,09,11.04
1991,10,11.23
1991,11,1.12
1991,12,4.04
1992,01,20.85
1992,02,27.16
1992,03,52.31
1992,04,2.13
1992,05,3.42
1992,06,0
1992,07,0.22
1992,08,40.18
1992,09,0.31
1992,10,13.46
1992,11,0
1992,12,58.18
1993,01,63.88
1993,02,44.84
1993,03,3.23
1993,04,0
1993,05,0.08
1993,06,0
1993,07,0
1993,08,1.27
1993,09,0
1993,10,0.92
1993,11,15.92
1993,12,1.06
1994,01,0.21
1994,02,10.65
1994,03,19.77
1994,04,0.24
1994,05,3.5
1994,06,0
1994,07,7.39
1994,08,9.68
1994,09,0.46
1994,10,0.47
1994,11,1.52
1994,12,37.7
1995,01,42.24
1995,02,11.36
1995,03,10.17
1995,04,5.28
1995,05,0
1995,06,0
1995,07,1.84
1995,08,5.63
1995,09,0.75
1995,10,0
1995,11,0
1995,12,0.04
1996,01,1.91
1996,02,9.59
1996,03,3.36
1996,04,0
1996,05,2.74
1996,06,0
1996,07,0.02
1996,08,4.95
1996,09,29.69
1996,10,0.02
1996,11,0.52
1996,12,0.23
1997,01,16.11
1997,02,0.61
1997,03,0
1997,04,2.3
1997,05,0.13
1997,06,0.23
1997,07,13.44
1997,08,1.65
1997,09,51.23
1997,10,0.42
1997,11,0.83
1997,12,35.81
1998,01,4.44
1998,02,56.18
1998,03,21.02
1998,04,0.33
1998,05,0.63
1998,06,0
1998,07,2.8
1998,08,5.7
1998,09,32.15
1998,10,1.13
1998,11,5.6
1998,12,5.16
1999,01,0.41
1999,02,11.79
1999,03,0
1999,04,24.49
1999,05,0.37
1999,06,1.01
1999,07,20.09
1999,08,7.38
1999,09,15.1
1999,10,0
1999,11,0
1999,12,0
2000,01,0
2000,02,2.96
2000,03,5.42
2000,04,0
2000,05,0
2000,06,2.25
2000,07,0
2000,08,8.21
2000,09,0
2000,10,8.15
2000,11,0.34
2000,12,0
2001,01,25.98
2001,02,17.45
2001,03,33.96
2001,04,0.64
2001,05,0
2001,06,0.04
2001,07,25.12
2001,08,5.38
2001,09,0.06
2001,10,0.06
2001,11,2.98
2001,12,2.65
2002,01,0.08
2002,02,0
2002,03,1.61
2002,04,0.03
2002,05,0
2002,06,0
2002,07,0
2002,08,0
2002,09,11.71
2002,10,0.78
2002,11,2.43
2002,12,1.03
2003,01,2.33
2003,02,26.97
2003,03,9.48
2003,04,1.38
2003,05,0
2003,06,0
2003,07,4.1
2003,08,3.96
2003,09,2.33
2003,10,0
2003,11,10.32
2003,12,2.79
2004,01,1.67
2004,02,17
2004,03,12.72
2004,04,6.7
2004,05,0
2004,06,0
2004,07,0
2004,08,9.94
2004,09,15.7
2004,10,34.44
2004,11,15.59
2004,12,17.68
2005,01,40.3
2005,02,72.78
2005,03,1.7
2005,04,1.13
2005,05,0
2005,06,0
2005,07,0.02
2005,08,25.92
2005,09,1.98
2005,10,9.89
2005,11,0.02
2005,12,0
2006,01,0
2006,02,0.27
2006,03,3.39
2006,04,0
2006,05,0.05
2006,06,4.59
2006,07,4.43
2006,08,21.75
2006,09,23.18
2006,10,6.45
2006,11,0
2006,12,0.5
2007,01,3.97
2007,02,1.8
2007,03,16.52
2007,04,0.77
2007,05,0
2007,06,0
2007,07,3.55
2007,08,0.35
2007,09,3.91
2007,10,0.93
2007,11,24.9
2007,12,26.05
2008,01,20.6
2008,02,2.24
2008,03,0
2008,04,0
2008,05,14.1
2008,06,0
2008,07,8.07
2008,08,4.16
2008,09,5.73
2008,10,0
2008,11,11.32
2008,12,18.92
2009,01,1.64
2009,02,15.71
2009,03,0
2009,04,0.23
2009,05,0.84
2009,06,0.04
2009,07,1.22
2009,08,3.16
2009,09,2.85
2009,10,0.01
2009,11,0
2009,12,17.7
2010,01,56.68
2010,02,21.93
2010,03,16.91
2010,04,0.19
2010,05,0
2010,06,0.03
2010,07,0.06
2010,08,6.9
2010,09,0.23
2010,10,7.24
2010,11,0
2010,12,21.26
2011,01,0
2011,02,25.59
2011,03,4.7
2011,04,0
2011,05,0
2011,06,0
2011,07,29.54
2011,08,3.14
2011,09,16.88
2011,10,2.5
2011,11,12.02
2011,12,21.75
2012,01,0.56
2012,02,1.15
2012,03,5.95
2012,04,2.82
2012,05,0
2012,06,0
2012,07,31.58
2012,08,27.25
2012,09,21.04
2012,10,4.51
2012,11,0
2012,12,19.15
